N,probed_pairs,unique_rules,cnf_vars,cnf_clauses,count,log10_count,ratio_to_prev,delta_log10,new_rules_vs_prev
1,204,237,223,623,9416026041864817077626169811009536000000,39.97386765096352,,,237
10,1836,1105,223,2811,845027978116073327479271649705984000000,38.92687108828729,0.08974358974358974,-1.0469965626762274,868
30,3672,1363,223,7657,510003772881228748272267370797465600000,38.70757338891252,0.6035347776510832,-0.21929769937477062,258
100,11016,2588,223,26020,1941629313630751847482392576000000,33.28816632010796,3.8070881371360453e-06,-5.41940706880456,1225
